"Category","Brand_Description","Price","Review_Count","Rating"
"Monitors"," Sceptre 24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)  4.6 out of 5 stars 31,195  10K+ bought in past month$99.97$99.97 List: $109.97$109.97 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$93.64(16 used & new offers)","99.","31,195","4.6 out of 5 stars"
"Monitors"," Sceptre Curved 24.5-inch Gaming Monitor up to 240Hz 1080p R1500 1ms DisplayPort x2 HDMI x2 Blue Light Shift Build-in Speakers, Machine Black 2023 (C255B-FWT240)  4.5 out of 5 stars 2,409  8K+ bought in past month$129.67$129.67 List: $149.97$149.97 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 ","129.","2,409","4.5 out of 5 stars"
"Monitors"," Sceptre Curved 24-inch Gaming Monitor 1080p R1500 98% sRGB HDMI x2 VGA Build-in Speakers, VESA Wall Mount Machine Black (C248W-1920RN Series)  4.6 out of 5 stars 19,827  8K+ bought in past month$95.71$95.71 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$75.61(12 used & new offers)","95.","19,827","4.6 out of 5 stars"
"Monitors"," PHILIPS 22 inch Class Thin Full HD (1920 x 1080) 75Hz Monitor, VESA, HDMI & VGA Port, 4 Year Advance Replacement Warranty, 221V8LN  Options:3 sizes4.6 out of 5 stars 2,275  10K+ bought in past month$69.99$69.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$54.46(10 used & new offers)","69.","2,275","4.6 out of 5 stars"
"Monitors"," ARZOPA Portable Monitor, 15.6'' 1080P FHD Laptop Monitor USB C HDMI Computer Display HDR Eye Care External Screen w/Smart Cover for PC Mac Phone Xbox Switch PS5-S1 Table  Options:2 sizes4.4 out of 5 stars 6,626  10K+ bought in past month$129.99$129.99$20.00 coupon applied at checkoutSave $20.00  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$83.16(4 used & new offers)","129.","6,626","4.4 out of 5 stars"
"Monitors"," HP 24mh FHD Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA)  4.7 out of 5 stars 24,836  4K+ bought in past month$159.98$159.98FREE delivery Tomorrow, Jan 25 More Buying Choices$130.70(34 used & new offers)","159.","24,836","4.7 out of 5 stars"
"Monitors"," 15.6inch Portable Monitor,1080P USB-C HDMI Second External Monitor for Laptop,PC,Mac Phone,PS,Xbox,Swich,IPS Ultra-Thin Zero Frame Gaming Monitor/Premium Smart Cover  Options:3 sizes4.7 out of 5 stars 2,835  10K+ bought in past monthLimited time deal   $75.88$75.88 List: $99.99$99.99 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$72.84(8 used & new offers)","75.","2,835","4.7 out of 5 stars"
"Monitors"," KYY Portable Monitor 15.6inch 1080P FHD USB-C, HDMI Computer Display HDR IPS Gaming Monitor w/Premium Smart Cover & Screen Protector, Speakers, for Laptop PC MAC Phone PS4 Xbox Switch  4.5 out of 5 stars 6,398  8K+ bought in past month$129.99$129.99 List: $219.99$219.99$15.00 coupon applied at checkoutSave $15.00  with coupon  FREE delivery Tue, Jan 30 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$68.79(25 used & new offers)","129.","6,398","4.5 out of 5 stars"
"Monitors"," Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)  4.5 out of 5 stars 11,077  5K+ bought in past month$206.56$206.56 List: $239.97$239.97 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$189.95(15 used & new offers)","206.","11,077","4.5 out of 5 stars"
"Monitors"," AOC C27G2Z 27"" Curved Frameless Ultra-Fast Gaming Monitor, FHD 1080p, 0.5ms 240Hz, FreeSync, HDMI/DP/VGA, Height Adjustable, 3-Year Zero Dead Pixel Guarantee, Black, Xbox PS5 Switch  Options:12 sizes4.7 out of 5 stars 14,832  5K+ bought in past month$172.99$172.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$136.66(21 used & new offers)","172.","14,832","4.7 out of 5 stars"
"Monitors"," Sceptre Curved 27"" FHD 1080p 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)  4.6 out of 5 stars 14,518  4K+ bought in past month$119.97$119.97 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$115.17(12 used & new offers)","119.","14,518","4.6 out of 5 stars"
"Monitors"," Portable-Monitor-for-Laptop - 15.6'' 1080P FHD IPS Display USB-C&HDMI Portable Monitor for Laptop with Cover and Speakers External Monitor for Laptop/PC/Mac/Phone/Xbox Switch/PS4  Options:2 sizes4.7 out of 5 stars 2,219  5K+ bought in past month$98.89$98.89$20.00 coupon applied at checkoutSave $20.00  with coupon  FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 ","98.","2,219","4.7 out of 5 stars"
"Monitors"," Dell SE2722HX Monitor - 27 inch FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare Screen with 3H Hardness - Black  4.6 out of 5 stars 3,115  3K+ bought in past month$134.99$134.99 List: $149.99$149.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$65.91(24 used & new offers)","134.","3,115","4.6 out of 5 stars"
"Monitors"," Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black  Options:4 sizes4.5 out of 5 stars 4,734  4K+ bought in past month$109.99$109.99 List: $172.99$172.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$108.89(5 used & new offers)","109.","4,734","4.5 out of 5 stars"
"Monitors"," Portable Monitor 15.6inch FHD 1080P USB C HDMI Gaming Ultra-Slim IPS Display w/Smart Cover & Speakers,HDR Plug&Play, External Monitor for Laptop PC Phone Mac Xbox (15.6'' 1080P)  Options:3 sizes4.6 out of 5 stars 4,786  5K+ bought in past month$98.97$98.97 List: $199.99$199.99Join Prime to buy this item at $77.99 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$70.35(11 used & new offers)","98.","4,786","4.6 out of 5 stars"
"Monitors"," Acer KC242Y Hbi 23.8"" Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports,Black  Options:6 sizes4.5 out of 5 stars 4,337  3K+ bought in past month$89.99$89.99 List: $117.99$117.99 FREE delivery Tue, Jan 30 More Buying Choices$89.09(7 used & new offers)","89.","4,337","4.5 out of 5 stars"
"Monitors"," Dell S2421HS Full HD 1920 x 1080, 24-Inch 1080p LED, 75Hz, Desktop Monitor with Adjustable Stand, 4ms Grey-to-Grey Response Time, AMD FreeSync, IPS Technology, HDMI, DisplayPort, Silver, 24.0"" FHD  Options:2 sizes4.6 out of 5 stars 1,139  2K+ bought in past month$159.99$159.99 List: $179.99$179.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$91.51(27 used & new offers)","159.","1,139","4.6 out of 5 stars"
"Monitors"," SAMSUNG 27"" CF39 Series FHD 1080p Curved Computer Monitor, Ultra Slim Design, AMD FreeSync, 4ms response, HDMI, DisplayPort, VESA Compatible, Wide Viewing Angle, LC27F398FWNXZA, Black  Options:2 sizes4.6 out of 5 stars 25,225  2K+ bought in past month$219.99$219.99 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$103.37(20 used & new offers)","219.","25,225","4.6 out of 5 stars"
